filename,index,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
740.in,740,1.00000000122359,-0.0300628479662633,0.130376396934468,0.161523412846657,0.0457159293644367,0.237498425695293,-0.238787628738143,-0.508991521711621,0.00785085590754679,0.0869064649453512,0.274640639376012,0.345680680022939,0.515204327297313
803.in,803,1.00000000092991,-0.0730425726642505,0.0969529576487393,0.107840447668475,0.123781159759254,0.0988454428755695,-0.231983273319539,-0.573595576120584,0.0177874179380723,0.0826429337765617,0.329884145707584,0.412600510171139,0.543360492804472
1008.in,1008,1.00000000088856,-0.171806202203227,0.189185984223927,0.214343154762939,0.184595008327272,0.252344780329122,-0.00956502647622938,-0.331468833581616,0.0396914036411448,0.0673277879380506,0.398707257784701,0.299104316147698,0.279443042904497
1018.in,1018,1.00000000086616,-0.0885375418896637,0.0307190998629565,0.348675801917823,0.0717884482689799,0.155327448250796,0.0276944135733872,-0.30166029958937,0.0201974480777804,0.108415684625569,0.452443465645884,0.347778718761011,0.18865532659537
1034.in,1034,1.00000000090586,-0.264281981985789,0.0286113085766486,0.0873113405602788,0.269698669065871,0.006884672080291,-0.0422607133959121,-0.406737662886078,0.0608511174780953,0.035675777146418,0.370865336337377,0.290047696222176,0.239893746914943
1039.in,1039,1.00000000131018,-0.125026341847371,-0.0329498165222604,0.159370466811171,0.212052068780234,-0.0475028416619651,0.0299422978119738,-0.363584874558033,0.0284884618398422,0.0976136803378949,0.401793561890474,0.312596092671723,0.206140685874805
1044.in,1044,1.00000000138033,-0.171959955284919,0.10768689233616,0.116826976745376,0.212121495719342,0.2156112774606,0.00145830546244254,-0.380803136664545,0.0375421398507073,0.0788982766817832,0.332672707161636,0.268282313100207,0.257419158651357
1047.in,1047,1.00000000110822,-0.199463361705331,0.176339912704292,0.0557206969312899,0.294763224896846,0.123798280429473,-0.0167617079968109,-0.390812530436367,0.0437710975677302,0.0588750435798084,0.371568070585266,0.308456388759504,0.326278025728371
1053.in,1053,1.00000000116451,-0.217074608797791,0.143297413011069,0.111012742359087,0.273158763937213,0.0581611929761464,-0.0164050118372118,-0.394800123756922,0.043789121746951,0.0558986548603537,0.414403790384716,0.337106619067666,0.309504869536873
1077.in,1077,1.00000000121343,-0.209188038280287,0.114832103179305,0.213790115544989,0.221204041496936,0.0451453043517303,-0.0179267631623601,-0.394513577879155,0.0449982760027207,0.0587031217046336,0.497699704989088,0.40984310167089,0.302743050001629
